Country,"Under-5 mortality rate (deaths per 1,000 live births) 2018",Life expectancy: female 2018,GDP per capita (current US$) 2018,At least basic drinking water services (%) 2017,At least basic sanitation services (%) 2017
Spain,3,86,28208.3,100,100
Sri Lanka,7,80,4104.6,89,96
State of Palestine,20,76,3254.5,97,97
Sudan,60,67,3015,60,37
Suriname,19,75,5379.1,95,84
Sweden,3,84,53253.5,100,99
Switzerland,4,85,80333.4,100,100
Syrian Arab Republic,17,78,,97,91
Tajikistan,35,73,806,81,97
Thailand,9,81,6578.2,100,99
Timor-Leste,46,71,2000.6,78,54
Togo,70,62,619.1,65,16
Tokelau,,,,100,97
Tonga,16,73,4217.5,100,93
Trinidad and Tobago,18,76,16076.1,98,93
Tunisia,17,79,3494.3,96,91
Turkey,11,80,10499.7,99,97
Turkmenistan,46,72,6587.1,99,99
Turks and Caicos Islands,,,25933.6,94,88
Tuvalu,24,,3572.6,99,84
Uganda,46,65,631.5,49,18
Ukraine,9,77,2640.7,94,96
United Arab Emirates,8,79,40325.4,98,99
United Kingdom,4,83,39932.1,100,99
United Republic of Tanzania,53,67,1004.8,57,30
United States,7,81,59927.9,99,100
Uruguay,8,81,16437.2,99,97
Uzbekistan,21,74,1826.6,98,100
Vanuatu,26,72,2976.1,91,34
Venezuela (Bolivarian Republic of),25,76,16054.5,96,94
Viet Nam,21,79,2365.6,95,84
Yemen,55,68,963.5,63,59
Zambia,58,66,1534.9,60,26
Zimbabwe,46,63,1602.4,64,36
